shapeID,shapeName,shapeGroup,shapeType,under18_sum,valid_cell_count,adm2_join_name,has_ipc_2022_data,province,ipc_area,analysis_date,current_from,current_to,population_analyzed_current,phase3plus_number_current,phase3plus_fraction_current,phase3plus_percent_current,under18_phase3plus_exposure_proxy_2022
85939544B24800488676804,Mossurize,MOZ,ADM2,117788.3828125,282825,mossurize,True,Manica,Mossurize,Nov 2022,2022-10-01,2023-03-31,239733.0,7191.0,0.03,3.0,3533.6514843749997
85939544B50673994435668,Muanza,MOZ,ADM2,24154.9453125,51922,muanza,True,Sofala,Muanza,Nov 2022,2022-10-01,2023-03-31,45465.0,5909.0,0.13,13.0,3140.1428906250003
85939544B7087427782291,Muecate,MOZ,ADM2,83182.0625,120158,muecate,True,Nampula,Muecate,Nov 2022,2022-10-01,2023-03-31,157393.0,15739.0,0.1,10.0,8318.206250000001
85939544B28759712944697,Mueda,MOZ,ADM2,92863.8984375,42831,mueda,False,,,,,,,,,,
85939544B2234925194697,Muembe,MOZ,ADM2,27497.912109375,43134,muembe,True,Niassa,Muembe,Nov 2022,2022-10-01,2023-03-31,55281.0,0.0,0.0,0.0,0.0
85939544B92892346973749,Muidumbe,MOZ,ADM2,53912.26171875,14241,muidumbe,False,Cabo Delgado,Muidumbe,Nov 2022,2022-10-01,2023-03-31,0.0,,,,
85939544B54372279750556,Mulevala,MOZ,ADM2,64024.9296875,149463,mulevala,True,Zambezia,Mulevala,Nov 2022,2022-10-01,2023-03-31,126336.0,27793.0,0.22,22.0,14085.48453125
85939544B53018455745149,Murrupula,MOZ,ADM2,113595.96875,158471,murrupula,True,Nampula,Murrupula,Nov 2022,2022-10-01,2023-03-31,220304.0,11015.0,0.05,5.0,5679.798437500001
85939544B58328889190937,Mutarara,MOZ,ADM2,103311.125,50961,mutarara,True,Tete,Mutarara,Nov 2022,2022-10-01,2023-03-31,204251.0,51062.0,0.25,25.0,25827.78125
85939544B80255250880532,Nacala,MOZ,ADM2,161432.703125,14953,nacala,True,Nampula,Nacala-porto,Nov 2022,2022-10-01,2023-03-31,362144.0,36214.0,0.1,10.0,16143.2703125
85939544B78261911608408,Nacala-A-Velha,MOZ,ADM2,70716.546875,47474,nacala-a-velha,True,Nampula,Nacala-a-velha,Nov 2022,2022-10-01,2023-03-31,146243.0,7312.0,0.05,5.0,3535.82734375
85939544B80156310814638,Nacaroa,MOZ,ADM2,87272.6875,124864,nacaroa,True,Nampula,Nacaroa,Nov 2022,2022-10-01,2023-03-31,170481.0,17048.0,0.1,10.0,8727.268750000001
85939544B88728478280907,Namaacha,MOZ,ADM2,23028.21484375,38704,namaacha,True,Maputo,Namaacha,Nov 2022,2022-10-01,2023-03-31,61262.0,6126.0,0.1,10.0,2302.821484375
85939544B74893021327700,Namacurra,MOZ,ADM2,125107.828125,87270,namacurra,True,Zambezia,Namacurra,Nov 2022,2022-10-01,2023-03-31,245102.0,12255.0,0.05,5.0,6255.391406250001
85939544B64189871111735,Namarroi,MOZ,ADM2,86812.6953125,179378,namarroi,True,Zambezia,Namarroi,Nov 2022,2022-10-01,2023-03-31,169899.0,0.0,0.0,0.0,0.0
85939544B68242516881190,Namuno,MOZ,ADM2,143950.03125,68363,namuno,False,,,,,,,,,,
